checkpoint,curve,layer,value
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,14,0.8645580255918093
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,15,0.1279947388801995
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,16,0.11559593987815413
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,17,0.1836918873874052
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,18,0.11452566049556742
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,19,-0.6822314981626065
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,20,-0.04453506025548549
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,21,0.044535060255485745
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,22,-1.0592994602741208
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,23,-0.884130456873497
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,24,-0.7208346000694676
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,25,-0.492926850275114
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,26,-0.35440545525825945
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x10_z_curve,27,-0.12209897333206259
