checkpoint,pool,item_id,family,cell,projection_r_content
NonSafetyFT-STaR,early,definitions:02,definitions,saf|F2|H|ben,-2.327677
NonSafetyFT-STaR,early,definitions:02,definitions,saf|F2|B|haz,-1.408999
NonSafetyFT-STaR,early,definitions:02,definitions,saf|F2|B|ben,-2.609691
NonSafetyFT-STaR,early,definitions:02,definitions,coh|F1|A|A,-2.387536
NonSafetyFT-STaR,early,definitions:02,definitions,coh|F1|A|B,-1.497868
NonSafetyFT-STaR,early,definitions:02,definitions,coh|F1|B|A,-1.835877
NonSafetyFT-STaR,early,definitions:02,definitions,coh|F1|B|B,-1.916124
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,saf|F1|H|haz,-1.956085
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,saf|F1|H|ben,0.014553
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,saf|F1|B|haz,-1.360006
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,saf|F1|B|ben,-0.19268
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,saf|F2|H|haz,-2.508014
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,saf|F2|H|ben,-0.860394
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,saf|F2|B|haz,-1.935546
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,saf|F2|B|ben,-0.785834
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,coh|F1|A|A,-2.507249
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,coh|F1|A|B,-1.561978
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,coh|F1|B|A,-1.774116
NonSafetyFT-STaR,early,safe_targets:19,safe_targets,coh|F1|B|B,-2.047919
NonSafetyFT-STaR,early,historical_events:22,historical_events,saf|F1|H|haz,0.367861
